Date      Type   Dir      SF       WF       ZS       ZW       F       Z
2016030100  AW   258.7160   1.2456   6.2429  -1.7842  -9.3737   6.3660 -11.1579
2016030101  AW   261.0740   1.6638  10.5933  -3.4138 -10.4975  10.7231 -13.9113
2016030102  A    259.8069   1.0509   5.8445  -3.1697 -13.4519   5.9382 -16.6216
2016030103  AW   260.5522   1.2906   7.7556  -0.6956 -12.2108   7.8622 -12.9064
2016030104  AW   252.8834   1.7467   5.6720   0.0742 -10.2966   5.9349 -10.2224
2016030105  A    255.7393   1.4492   5.7018   0.3138 -13.9845   5.8831 -13.6707
2016030106  AW   255.2339   1.8825   7.1422   0.4264  -8.0275   7.3861  -7.6011
2016030107  W    251.5145   2.4541   7.3406   1.3650  -7.1057   7.7399  -5.7406
2016030108  A    260.5998   1.1217   6.7756  -0.6738 -13.2234   6.8678 -13.8972
2016030109  AW   258.9336   1.4343   7.3334   1.6271  -9.8533   7.4724  -8.2262
2016030110  AW   249.8730   1.9903   5.4308   0.9087 -10.4779   5.7840  -9.5692
2016030111  W    261.1906   1.1879   7.6652   3.3373  -7.1519   7.7567  -3.8145
2016030112  W    263.0396   1.0443   8.5543   2.3403  -5.9944   8.6178  -3.6541
2016030113  W    263.6414   1.1044   9.9109   2.4220  -5.7841   9.9722  -3.3621
2016030114  W    262.7234   1.0628   8.3235   4.0899  -6.8568   8.3911  -2.7670
2016030115  W    269.0927   0.1336   8.4357   4.2029  -4.8059   8.4367  -0.6030
2016030116  W    262.3501   1.1104   8.2671   5.1399  -4.3280   8.3413   0.8119
2016030117  W    271.3140  -0.2084   9.0837   5.7803  -2.7085   9.0861   3.0718
2016030118  W    271.4071  -0.2066   8.4122   4.1649  -2.7137   8.4148   1.4512
2016030119  W    263.5772   0.9982   8.8677   5.4615   0.5239   8.9237   5.9854
2016030120  W    277.3161  -1.1429   8.9020   3.7011  -5.9397   8.9750  -2.2386
2016030121  W    276.5350  -0.9794   8.5496   5.3708  -0.8139   8.6055   4.5569
2016030122  W    270.5054  -0.0780   8.8407   3.2352  -3.7413   8.8410  -0.5061
2016030123  W    274.5238  -0.7240   9.1505   3.8281  -1.8323   9.1791   1.9958
2016030200  W    271.6376  -0.2757   9.6426   3.5861   1.6014   9.6465   5.1876
2016030201  W    271.6381  -0.3537  12.3694   1.3964  -0.2317  12.3745   1.1647
2016030202  W    269.8106   0.0362  10.9538   1.8608   0.2457  10.9539   2.1065
2016030203  W    273.0370  -0.5733  10.8066   3.0305  -1.4558  10.8218   1.5747
2016030204  W    263.5658   0.9981   8.8505   2.5453  -1.8602   8.9066   0.6852
2016030205  W    265.8765   0.6677   9.2612   3.0253  -0.4576   9.2853   2.5678
2016030206  W    260.7941   1.3461   8.3057   2.0918  -0.8261   8.4140   1.2657
2016030207  W    257.9343   1.7595   8.2315   2.3420   0.7264   8.4175   3.0683
2016030208  W    257.5376   1.7825   8.0656   0.3192  -2.8599   8.2602  -2.5407
2016030209  W    255.5509   1.8513   7.1849   2.7706  -1.7552   7.4196   1.0154
2016030210  SW   235.1040   4.5907   6.5817   1.1916  -2.3786   8.0245  -1.1870
2016030211  W    247.7530   3.4695   8.4819   2.6420  -0.4309   9.1640   2.2111
2016030212  SW   246.4478   3.6006   8.2602   0.5393  -0.9795   9.0108  -0.4403
2016030213  SW   246.8189   3.4869   8.1431   2.8679   5.3013   8.8582   8.1692
2016030214  SW   246.3134   3.8024   8.6675  -0.8453  -4.1614   9.4649  -5.0067
2016030215  SW   242.7251   3.4718   6.7337   4.2037   2.2392   7.5760   6.4429
2016030216  SW   243.5679   4.2101   8.4694   2.0551  -0.1263   9.4581   1.9288
2016030217  W    247.8237   3.2579   7.9927   4.5361   3.5834   8.6312   8.1194
2016030218  SW   247.2224   3.0869   7.3516   2.4789   2.2271   7.9734   4.7060
2016030219  CSW  240.1035   4.2217   7.3428   4.7568   4.6842   8.4699   9.4410
2016030220  CW   251.3653   2.7724   8.2215   5.9135   4.7225   8.6764  10.6361
2016030221  CSW  243.8866   2.9877   6.0950   7.7986   4.8970   6.7878  12.6955
2016030222  CSW  239.7347   3.9246   6.7256   6.3289   4.7249   7.7869  11.0538
2016030223  C    249.6342   2.7582   7.4303   8.1075   7.7808   7.9257  15.8883
2016030300  CW   253.1837   2.4465   8.0950   7.3573   7.3735   8.4566  14.7308
2016030301  C    242.2354   3.2908   6.2510   9.1580   9.6651   7.0643  18.8232
2016030302  CSW  240.3732   3.5092   6.1705   5.2460   3.8210   7.0986   9.0671
2016030303  C    236.1112   2.9324   4.3658  11.6352  10.9437   5.2592  22.5789
2016030304  C    231.9819   3.6994   4.7319   9.1580   4.7511   6.0064  13.9091
2016030305  C    234.1914   3.1830   4.4119  11.6228  10.4344   5.4403  22.0573
2016030306  C    224.7179   3.3568   3.3239   9.0030   7.9740   4.7240  16.9770
2016030307  C    222.7075   4.2484   3.9213  11.2260   7.9929   5.7815  19.2189
2016030308  C    223.8343   3.5408   3.3996  10.8145   7.5563   4.9086  18.3708
2016030309  C    207.3247   3.9318   2.0315  11.3927   6.1087   4.4256  17.5015
2016030310  C    202.5798   5.0499   2.1000  11.5137   8.0648   5.4691  19.5785
2016030311  C    219.1136   4.6231   3.7589  14.1213   8.5646   5.9584  22.6860
2016030312  C    213.9596   4.6725   3.1469  13.2136   9.0846   5.6334  22.2982
2016030313  C    197.2949   7.2031   2.2428  13.0459  13.9642   7.5442  27.0101
2016030314  C    213.1949   5.6024   3.6654  12.2419   2.9184   6.6949  15.1603
2016030315  C    196.2348   5.8259   1.6964  15.8408   7.4811   6.0678  23.3220
2016030316  C    204.5829   7.2067   3.2969  16.8737   5.4003   7.9250  22.2739
2016030317  C    199.3923   6.2912   2.2145  17.0245   5.5129   6.6696  22.5373
