Date      Type   Dir      SF       WF       ZS       ZW       F       Z
2017010104  AW   261.2606   0.6901   4.4894  -3.0718  -4.5304   4.5421  -7.6022
2017010105  A    287.6839  -0.8269   2.5934  -2.1595  -5.6028   2.7221  -7.7623
2017010106  A    272.2460  -0.1207   3.0779  -3.0539  -7.3479   3.0802 -10.4019
2017010107  A    296.6637  -0.6654   1.3251  -3.6830  -6.4589   1.4828 -10.1419
2017010108  A    296.8223  -1.6548   3.2727  -3.3020  -9.9776   3.6673 -13.2796
2017010109  A    303.2632  -1.6490   2.5139  -4.3805 -12.1485   3.0065 -16.5290
2017010110  UD   295.2245  -0.5729   1.2161  -1.3364  -1.2122   1.3442  -2.5486
2017010111  A    299.0842  -1.7807   3.2013  -4.6805 -10.2673   3.6632 -14.9478
2017010112  A    298.2044  -1.9168   3.5741  -3.1398  -5.3870   4.0556  -8.5268
2017010113  UD   321.7597  -4.2120   3.3193   0.8228  -0.8698   5.3628  -0.0469
2017010114  A    330.0512  -3.2971   1.8997  -3.3796  -6.8575   3.8052 -10.2371
2017010115  A    340.1891  -2.5730   0.9269  -2.8402  -9.1589   2.7348 -11.9991
2017010116  A    342.5984  -2.7615   0.8655  -3.0588  -4.9218   2.8939  -7.9807
2017010117  A     53.7371  -2.2221  -3.0292  -3.1325  -9.0268   3.7568 -12.1593
2017010118  A     61.5512  -1.1057  -2.0408  -3.9559  -7.2685   2.3211 -11.2245
2017010119  A     21.1976  -2.8699  -1.1130  -2.8782  -6.0480   3.0782  -8.9263
2017010120  A     33.1039  -1.3887  -0.9054  -3.5964  -8.5898   1.6578 -12.1862
2017010121  A     53.2175  -1.6468  -2.2028  -8.2404 -13.0498   2.7503 -21.2901
2017010122  A     46.1336  -1.6137  -1.6788  -6.3565 -10.8736   2.3286 -17.2301
2017010123  A     36.0021  -0.8167  -0.5934  -3.9778  -8.3256   1.0095 -12.3034
2017010200  A    269.1079   0.0167   1.0693  -7.3882  -8.8814   1.0695 -16.2697
2017010201  A    275.1420  -0.1713   1.9036  -6.0055  -7.9052   1.9113 -13.9107
2017010202  A    277.8160  -0.3991   2.9072  -6.2823  -7.1364   2.9344 -13.4187
2017010203  A    247.5264   0.8701   2.1033  -3.4529  -9.4934   2.2761 -12.9463
2017010204  A    244.9507   0.8401   1.7975  -8.9318 -12.5459   1.9841 -21.4776
2017010205  A    262.7878   0.1448   1.1445  -5.2141 -12.4151   1.1536 -17.6291
2017010206  A    247.6024   1.6379   3.9742  -7.6547 -13.0717   4.2985 -20.7265
2017010207  A    262.6112   0.3807   2.9356  -7.1310 -14.0926   2.9602 -21.2236
2017010208  A    249.3934   1.6992   4.5191  -5.7980 -12.8806   4.8280 -18.6786
2017010209  A    259.4652   0.8506   4.5739  -8.0784 -16.5785   4.6523 -24.6569
2017010210  A    253.5911   0.9539   3.2394  -5.2619 -13.7056   3.3769 -18.9675
2017010211  A    268.5047   0.1087   4.1642  -5.3576 -15.1281   4.1656 -20.4857
2017010212  A    266.6380   0.3896   6.6313  -6.2580 -12.9678   6.6428 -19.2257
2017010213  A    267.8360   0.1865   4.9344  -6.9613 -10.7900   4.9380 -17.7513
2017010214  A    265.5213   0.4945   6.3131  -8.2394 -17.1375   6.3324 -25.3768
2017010215  A    264.1675   0.7028   6.8799  -6.2256 -15.3069   6.9157 -21.5325
2017010216  A    266.5294   0.2714   4.4756  -6.6895 -12.2197   4.4838 -18.9092
2017010217  A    272.0402  -0.2587   7.2626  -6.9865 -15.8565   7.2672 -22.8430
2017010218  A    274.7168  -0.5715   6.9259  -6.5425 -12.0386   6.9494 -18.5810
2017010219  A    281.5015  -1.2896   6.3379  -7.1128 -12.3167   6.4678 -19.4295
2017010220  AW   269.0941   0.1637  10.3508  -5.5542 -12.6710  10.3521 -18.2251
2017010221  A    278.6838  -1.1076   7.2517  -6.9224 -15.1048   7.3358 -22.0273
2017010222  A    272.5900  -0.3578   7.9104  -6.2756 -13.0070   7.9185 -19.2826
2017010223  A    274.2816  -0.5411   7.2280  -5.7971 -12.1699   7.2482 -17.9670
2017010300  A    276.7871  -0.9816   8.2477  -7.1806 -11.1342   8.3059 -18.3148
2017010301  AW   288.8795  -2.4932   7.2905  -5.3444  -7.9200   7.7050 -13.2643
2017010302  AW   271.7791  -0.2926   9.4214  -7.0388  -9.0724   9.4259 -16.1112
2017010303  A    276.0240  -0.8053   7.6309  -7.2779  -9.8751   7.6732 -17.1530
2017010304  A    279.2612  -0.6921   4.2444  -7.3523  -6.8537   4.3004 -14.2060
2017010305  A    265.3659   0.4270   5.2681  -8.3415  -8.1452   5.2854 -16.4866
2017010306  A    260.4621   0.5540   3.2973  -8.1945  -3.3562   3.3435 -11.5506
2017010307  AW   266.4695   0.2749   4.4554  -7.1024  -1.2027   4.4639  -8.3051
2017010308  A    261.4947   0.5594   3.7404  -5.9656  -4.2071   3.7820 -10.1727
2017010309  A    266.9076   0.1087   2.0120  -8.0077  -5.7878   2.0150 -13.7956
2017010310  A    234.8131   1.3826   1.9609  -6.4168  -1.5661   2.3994  -7.9829
2017010311  A    232.3753   1.3249   1.7189  -7.4478  -4.9433   2.1702 -12.3911
2017010312  A    224.7987   1.2712   1.2623  -8.8599  -3.9198   1.7914 -12.7797
2017010313  UD   199.5363   1.4721   0.5223  -5.9533   1.4566   1.5620  -4.4967
2017010314  A    221.6118   2.0389   1.8110  -7.3032  -1.8744   2.7270  -9.1777
2017010315  A    228.3275   1.6971   1.9066  -9.4144  -4.1856   2.5525 -13.6000
2017010316  A    160.5441   2.4193  -0.8546  -8.9499  -2.9995   2.5658 -11.9494
2017010317  A    173.5337   2.4820  -0.2813  -8.3743  -6.0185   2.4979 -14.3928
2017010318  A    152.1432   2.8959  -1.5305  -9.8079  -4.6065   3.2755 -14.4144
2017010319  A    151.6238   3.0657  -1.6559  -7.7970  -1.5055   3.4843  -9.3024
2017010320  A    176.9321   2.4291  -0.1302  -9.5381  -5.2860   2.4326 -14.8242
2017010321  A    153.6075   3.0257  -1.5015  -8.5677  -8.0032   3.3777 -16.5709
2017010322  A    141.9412   3.7773  -2.9574  -7.3271  -3.3044   4.7973 -10.6315
2017010323  A    152.2889   3.2139  -1.6881  -6.7894  -5.1573   3.6302 -11.9467
2017010400  A    160.7989   3.2439  -1.1297  -7.8857  -3.8324   3.4349 -11.7181
2017010401  UD   126.5846   2.5518  -3.4380  -5.0059  -0.2574   4.2816  -5.2633
2017010402  A    153.8178   2.4772  -1.2180  -7.1645  -5.8074   2.7604 -12.9719
2017010403  A    176.6740   3.8334  -0.2228  -4.9098  -6.4280   3.8399 -11.3378
2017010404  ASE  126.9041   3.0056  -4.0024  -4.4363  -4.1056   5.0053  -8.5419
2017010405  ASE  150.1170   3.8269  -2.1990  -2.8043  -5.0105   4.4137  -7.8148
2017010406  A    140.7078   3.3647  -2.7532  -4.6184  -6.2744   4.3475 -10.8928
2017010407  SE   134.3318   4.2797  -4.3807  -2.5566  -3.4424   6.1243  -5.9990
2017010408  ASE  139.1943   3.3169  -2.8636  -1.9086  -5.0226   4.3820  -6.9312
2017010409  ASE  129.0862   3.5954  -4.4263  -3.4484  -7.2037   5.7026 -10.6521
2017010410  SE   128.0659   4.7401  -6.0527  -1.2284  -2.5585   7.6879  -3.7869
2017010411  ASE  138.0702   4.5484  -4.0853  -2.8855  -8.0242   6.1137 -10.9097
2017010412  SE   132.4762   4.2281  -4.6180  -1.7399  -3.1242   6.2613  -4.8641
2017010413  SE   144.7542   5.4291  -3.8363  -0.8032  -4.4410   6.6477  -5.2442
2017010414  SE   130.0360   4.4850  -5.3381  -0.7654  -3.5214   6.9721  -4.2868
2017010415  ASE  133.8029   4.9667  -5.1787  -2.9049  -9.5852   7.1755 -12.4900
2017010416  ASE  131.5505   4.9914  -5.6317  -2.0867  -5.6102   7.5253  -7.6969
2017010417  ASE  134.7085   5.3377  -5.3923  -1.0973  -8.1975   7.5874  -9.2948
2017010418  ASE  131.9892   5.6021  -6.2241  -1.3385  -7.6347   8.3740  -8.9732
2017010419  SE   129.0829   5.0012  -6.1577  -0.3965  -5.7296   7.9328  -6.1261
2017010420  ASE  144.4522   4.5849  -3.2761  -1.7948  -8.8291   5.6351 -10.6239
2017010421  ASE  126.5316   5.2846  -7.1335  -2.1113 -11.9700   8.8778 -14.0813
2017010422  ASE  137.7674   5.9904  -5.4380  -1.7265  -9.9491   8.0905 -11.6756
2017010423  A    141.9759   5.3701  -4.1992  -2.4139 -12.6294   6.8170 -15.0434
2017010500  ASE  136.2366   5.0790  -4.8644  -2.4827 -11.3496   7.0327 -13.8324
2017010501  A    162.1985   6.0415  -1.9399  -2.1248 -10.8981   6.3453 -13.0229
2017010502  A    141.3022   4.8842  -3.9127  -2.4021 -11.0259   6.2582 -13.4281
2017010503  A    141.7053   6.1910  -4.8884  -1.8923 -14.7048   7.8883 -16.5971
2017010504  A    146.2318   5.0950  -3.4067  -0.8173 -13.6320   6.1291 -14.4494
2017010505  A    137.9333   4.8087  -4.3399  -0.4124 -12.9094   6.4775 -13.3218
2017010506  A    148.9497   4.9235  -2.9642  -3.0638 -14.1691   5.7470 -17.2329
2017010507  A    140.7390   4.8498  -3.9641  -1.5428 -12.9061   6.2638 -14.4490
2017010508  A    167.2179   4.3858  -0.9950  -1.1123 -14.2979   4.4973 -15.4101
2017010509  A    135.8109   3.5995  -3.4990  -0.8739 -14.2604   5.0199 -15.1343
