Date      Type   Dir      SF       WF       ZS       ZW       F       Z
2017060100  UD    85.0430  -0.3774  -4.3511   0.2327   0.1797   4.3675   0.4124
2017060101  UD    82.5084  -0.5131  -3.9018  -1.5082   1.3672   3.9354  -0.1410
2017060102  UD    83.3367  -0.3712  -3.1772   0.1744   0.9725   3.1989   1.1469
2017060103  UD    82.3375  -0.5765  -4.2849  -0.3230   0.6359   4.3235   0.3129
2017060104  UD    83.2434  -0.5011  -4.2295  -0.4022  -1.2928   4.2591  -1.6950
2017060105  UD    88.7589  -0.0602  -2.7769  -1.1335   0.1845   2.7775  -0.9490
2017060106  UD   108.4518   0.5248  -1.5729  -0.1882   1.5640   1.6581   1.3758
2017060107  UD   110.5819   1.0816  -2.8802   0.9118   0.0650   3.0766   0.9767
2017060108  UD   239.7303   0.9942   1.7034   0.2880   4.1316   1.9723   4.4196
2017060109  UD   209.4736   2.1485   1.2142  -0.9384   1.8066   2.4678   0.8682
2017060110  UD   221.5809   2.3838   2.1150  -1.3545   3.7882   3.1868   2.4337
2017060111  UD   222.8737   2.7112   2.5171  -0.3162   2.2592   3.6995   1.9431
2017060112  UD   232.8287   2.5317   3.3388  -1.0457   3.1721   4.1901   2.1264
2017060113  UD   214.0301   4.2609   2.8773   0.2667   5.0050   5.1414   5.2717
2017060114  UD   212.8632   3.6671   2.3690  -0.6119   4.8793   4.3658   4.2674
2017060115  UD   206.0495   3.7510   1.8335  -2.8123   3.0445   4.1751   0.2322
2017060116  UD   230.1748   1.7280   2.0722  -2.1946   7.0716   2.6982   4.8770
2017060117  UD   227.3896   3.4188   3.7166   0.0453   3.5241   5.0499   3.5694
2017060118  UD   221.9279   3.1978   2.8721  -2.5873   5.8860   4.2982   3.2987
2017060119  UD   184.5259   2.7712   0.2194  -2.6493   2.0435   2.7799  -0.6059
2017060120  UD   187.2002   1.6629   0.2101  -1.6632   5.7062   1.6761   4.0430
2017060121  UD   148.0256   2.5017  -1.5617  -3.9240   4.6117   2.9492   0.6877
2017060122  UD   130.6066   1.5179  -1.7705  -4.5472   4.7528   2.3321   0.2056
2017060123  UD   141.2228   0.9907  -0.7959  -3.7474   3.0437   1.2708  -0.7037
2017060200  UD   141.2345   1.3287  -1.0670  -5.1066   3.4978   1.7041  -1.6088
2017060201  UD   131.0801   1.3141  -1.5074  -5.5703   5.7275   1.9997   0.1572
2017060202  UD   122.7887   1.3671  -2.1222  -4.4897   5.0304   2.5244   0.5406
2017060203  UD   105.9748   1.0012  -3.4975  -3.0634   4.7459   3.6380   1.6825
2017060204  UD   101.5401   0.9532  -4.6682  -3.5269   2.1545   4.7645  -1.3724
2017060205  UD    98.8213   0.6233  -4.0164  -2.6921   5.5219   4.0644   2.8298
2017060206  UD   103.7912   0.8182  -3.3331  -1.8655   3.3343   3.4321   1.4688
2017060207  UD    96.0026   0.3647  -3.4680   0.4712   0.8419   3.4871   1.3130
2017060208  C     87.9035  -0.1328  -3.6279   0.0685   9.8833   3.6304   9.9517
2017060209  UD   106.5802   0.8946  -3.0046  -0.4489   2.1831   3.1349   1.7342
2017060210  UD    97.3846   0.6967  -5.3759  -0.9117   3.2389   5.4208   2.3272
2017060211  UD    91.9336   0.1400  -4.1479  -2.1620   1.4766   4.1503  -0.6854
2017060212  UD    97.7637   0.6168  -4.5239  -1.8633  -1.1394   4.5657  -3.0027
2017060213  UD    71.7364  -0.8597  -2.6050  -1.1997  -2.1117   2.7432  -3.3114
2017060214  E     92.9307   0.4148  -8.1017  -1.1304   1.1163   8.1123  -0.0141
2017060215  AE    89.7226  -0.0388  -8.0148  -2.1130  -6.1842   8.0149  -8.2972
2017060216  UD    76.3137  -1.3837  -5.6821   0.3084   1.8332   5.8482   2.1416
2017060217  UD    88.4380  -0.1256  -4.6056  -1.3964   0.6926   4.6073  -0.7038
2017060218  UD    88.3903  -0.1089  -3.8735  -0.5186  -2.7629   3.8751  -3.2815
2017060219  AE    85.0344  -0.5381  -6.1931  -0.9491  -5.9121   6.2164  -6.8612
2017060220  E     87.3439  -0.2865  -6.1761  -2.3751  -0.7991   6.1828  -3.1742
2017060221  AE    86.3901  -0.3801  -6.0255  -3.6881  -7.0346   6.0375 -10.7228
2017060222  AE    79.7372  -1.0185  -5.6252  -3.6149  -3.6902   5.7167  -7.3052
2017060223  A     79.9115  -0.7392  -4.1548  -4.9813  -7.0583   4.2200 -12.0396
2017060300  A     78.3489  -0.6840  -3.3172  -4.6706  -7.6930   3.3870 -12.3636
2017060301  A     61.0141  -1.5482  -2.7946  -5.2276  -6.1451   3.1948 -11.3728
2017060302  A     74.8280  -1.1395  -4.2020  -4.3698  -6.9958   4.3538 -11.3657
2017060303  A     73.5653  -1.1241  -3.8107  -4.2927  -6.9126   3.9731 -11.2053
2017060304  A     72.4769  -1.5307  -4.8481  -4.4076  -8.8148   5.0840 -13.2224
2017060305  A     71.1344  -1.0974  -3.2114  -3.9538  -6.8253   3.3937 -10.7791
2017060306  A     53.2712  -1.2629  -1.6926  -4.1751  -9.2191   2.1118 -13.3942
2017060307  A     66.9022  -0.7362  -1.7261  -2.0870  -8.3123   1.8765 -10.3993
2017060308  A    336.7014  -1.1510   0.4957  -2.5875  -4.9330   1.2532  -7.5205
2017060309  A    321.2387  -0.6296   0.5055  -1.1365  -5.3508   0.8074  -6.4873
2017060310  A    304.5366  -0.6205   0.9016  -2.1350  -4.5067   1.0944  -6.6416
2017060311  A    291.4436  -0.6853   1.7449  -2.1445  -6.6510   1.8746  -8.7955
2017060312  A    293.9230  -0.4350   0.9805  -0.9910  -6.2487   1.0726  -7.2397
2017060313  ANW  301.2518  -2.2512   3.7096  -0.4376  -6.9134   4.3392  -7.3510
2017060314  A    198.7379   1.1015   0.3737  -2.2408  -7.1998   1.1632  -9.4406
2017060315  A    300.8351  -0.7661   1.2833  -2.5712  -8.4355   1.4946 -11.0066
2017060316  A    289.7199  -1.0188   2.8423  -0.0808  -6.0191   3.0194  -6.0999
2017060317  UD   269.6921   0.0188   3.4933   0.1976  -4.2100   3.4933  -4.0124
2017060318  A    273.5554  -0.1891   3.0439  -2.2058  -7.0743   3.0498  -9.2801
2017060319  A    296.1511  -0.8396   1.7100  -0.1685  -9.3362   1.9050  -9.5047
2017060320  A    268.5499   0.0154   0.6081  -1.3946  -7.9099   0.6083  -9.3045
2017060321  A    229.0572   0.9114   1.0505  -0.8513  -6.0505   1.3908  -6.9019
2017060322  A    250.5667   0.9188   2.6041  -2.1476  -8.1519   2.7614 -10.2995
2017060323  A    246.4338   1.2675   2.9058  -1.8543  -9.2408   3.1702 -11.0952
2017060400  A    261.0403   0.5007   3.1757  -2.0677  -9.8817   3.2149 -11.9494
2017060401  A    263.4091   0.4712   4.0785  -1.5987  -8.6497   4.1056 -10.2484
2017060402  A    257.6394   0.7170   3.2718  -2.4337  -8.7785   3.3494 -11.2122
2017060403  A    245.6618   0.9550   2.1113  -0.8299  -8.4312   2.3172  -9.2612
2017060404  A    236.1363   0.8758   1.3051  -0.3567  -9.0122   1.5717  -9.3689
2017060405  UD   244.7367   1.1314   2.3974  -0.1423  -5.8506   2.6509  -5.9929
2017060406  A    250.2294   1.0816   3.0090  -0.1849  -8.0248   3.1975  -8.2097
2017060407  A    255.2012   0.7962   3.0136   1.3404  -8.2106   3.1170  -6.8703
2017060408  UD   246.5113   2.1987   5.0594   1.4444  -3.6671   5.5166  -2.2227
2017060409  AW   252.9159   1.7411   5.6650  -0.5523  -6.1300   5.9266  -6.6822
2017060410  UD   237.0685   2.8160   4.3476   3.5002  -3.5601   5.1799  -0.0598
2017060411  UD   242.8140   2.5624   4.9888   1.0477  -5.4578   5.6084  -4.4101
2017060412  UD   228.9475   3.1165   3.5786   2.5415  -8.3303   4.7454  -5.7888
2017060413  UD   225.6608   1.6309   1.6689   3.6603  -6.9426   2.3335  -3.2823
2017060414  UD   203.9061   4.1136   1.8234   3.7243  -7.7073   4.4996  -3.9830
2017060415  A    185.5387   3.2245   0.3127   2.2561 -14.2215   3.2397 -11.9654
2017060416  UD   219.9011   4.0421   3.3799   2.9641  -4.4184   5.2690  -1.4543
2017060417  UD   231.8414   3.1224   3.9738   4.7008  -6.7524   5.0538  -2.0516
2017060418  UD   210.6117   3.5795   2.1179   4.4362 -10.1418   4.1592  -5.7056
2017060419  A    202.2316   2.9178   1.1926   2.6884 -14.0966   3.1522 -11.4082
2017060420  A    193.9782   3.2562   0.8105   3.6686 -11.6310   3.3556  -7.9624
2017060421  A    191.0589   4.0397   0.7896   3.8282 -12.4703   4.1161  -8.6421
2017060422  A    190.7563   3.9261   0.7458   4.7410 -13.0281   3.9964  -8.2871
2017060423  A    208.3260   4.6090   2.4844   3.1140 -14.8006   5.2359 -11.6866
2017060500  A    200.5216   3.9072   1.4625   3.7706 -16.4102   4.1720 -12.6396
2017060501  A    196.5754   3.9831   1.1855   3.8326 -14.7877   4.1558 -10.9551
2017060502  A    198.9624   4.3129   1.4819   3.7332 -15.9209   4.5603 -12.1877
2017060503  A    177.4614   4.4026  -0.1952   5.2007 -16.1251   4.4069 -10.9244
2017060504  A    157.0898   4.0726  -1.7212   6.2166 -15.4065   4.4214  -9.1899
2017060505  A    181.0352   4.3743   0.0790   4.9631 -17.8430   4.3750 -12.8799
2017060506  A    184.1754   3.5532   0.2594   4.1695 -18.5956   3.5627 -14.4260
2017060507  A    165.5688   3.4749  -0.8942   5.9391 -19.6018   3.5881 -13.6628
2017060508  A    204.8531   3.8463   1.7816   5.3355 -17.9945   4.2388 -12.6590
2017060509  A    201.6869   3.5257   1.4021   5.3044 -18.8169   3.7942 -13.5125
2017060510  A    196.6085   2.9687   0.8855   5.4380 -17.3986   3.0980 -11.9606
2017060511  A    190.9020   2.7693   0.5334   5.4271 -20.1129   2.8202 -14.6858
2017060512  A    162.3551   1.9966  -0.6351   5.5467 -18.1398   2.0951 -12.5930
2017060513  UD   146.2952   1.3340  -0.8898   9.3127 -14.3232   1.6035  -5.0106
2017060514  UD   126.0619   0.8596  -1.1805   7.0890 -11.6705   1.4603  -4.5815
2017060515  A    113.9988   1.4814  -3.3275   8.1472 -17.7239   3.6424  -9.5767
2017060516  UD   273.7978  -0.1473   2.2196   8.0310 -11.1855   2.2245  -3.1544
2017060517  UD   240.9640   0.7298   1.3146  11.6511  -5.8470   1.5036   5.8041
2017060518  UD   262.1349   0.2586   1.8723   8.0893 -13.8633   1.8900  -5.7740
2017060519  UD   232.0526   0.7830   1.0042  10.0003 -10.4029   1.2734  -0.4026
2017060520  UD   319.9395  -0.8871   0.7460  11.4313  -8.0805   1.1591   3.3509
2017060521  C    137.8322   0.6863  -0.6216  13.4396  -6.7853   0.9259   6.6543
2017060522  C    345.7680  -1.1399   0.2891  13.4158  -5.1548   1.1760   8.2610
2017060523  UD    12.3533  -1.3143  -0.2878  12.6944  -8.0015   1.3454   4.6930
2017060600  C     11.8944  -2.2089  -0.4653  13.8427  -4.6204   2.2574   9.2223
2017060601  UD    19.7141  -1.4546  -0.5212  12.8188  -7.1012   1.5452   5.7175
2017060602  C      1.6156  -2.0602  -0.0581  14.3153  -4.9602   2.0610   9.3552
2017060603  CNE   49.4139  -2.3673  -2.7633  12.8880  -6.7364   3.6387   6.1516
2017060604  CNE   63.5382  -2.1824  -4.3845  14.3153  -7.2563   4.8976   7.0590
2017060605  CNE   54.3324  -1.9782  -2.7562  12.0252  -5.9992   3.3926   6.0260
2017060606  UD    57.1539  -2.3339  -3.6151  10.2386  -7.2158   4.3030   3.0229
2017060607  CE    71.2988  -2.0140  -5.9497  11.4647  -4.7001   6.2813   6.7647
2017060608  CNE   61.7246  -1.5906  -2.9571  11.3676  -5.3572   3.3577   6.0103
