Date      Type   Dir      SF       WF       ZS       ZW       F       Z
2018090100  UD   159.0860   2.1396  -0.8176   0.0286  -5.5262   2.2905  -5.4976
2018090101  UD   157.9345   2.7363  -1.1092  -1.3151  -4.2383   2.9526  -5.5534
2018090102  UD   179.7261   2.6177  -0.0125   0.9799  -4.4677   2.6177  -3.4877
2018090103  UD   145.4158   2.4769  -1.7077   2.1074  -7.9766   3.0085  -5.8692
2018090104  UD   177.4203   2.5793  -0.1162   4.5125  -5.8834   2.5820  -1.3708
2018090105  UD   187.6023   2.2179   0.2960   4.6696  -5.9417   2.2376  -1.2721
2018090106  UD   214.3133   2.1976   1.4998   6.2362  -4.7797   2.6606   1.4565
2018090107  UD   192.4877   3.8247   0.8470   5.3510  -6.7317   3.9173  -1.3807
2018090108  UD   215.8791   2.2759   1.6462   7.5303  -3.4412   2.8088   4.0891
2018090109  UD   217.2247   2.4975   1.8974   7.1978  -6.9226   3.1365   0.2752
2018090110  UD   221.5334   3.0843   2.7319   7.5011  -6.2874   4.1202   1.2137
2018090111  UD   227.2348   3.1774   3.4355   8.6096  -5.9221   4.6796   2.6875
2018090112  UD   238.2521   2.5846   4.1770   8.7169  -6.8302   4.9120   1.8866
2018090113  UD   222.3837   3.1107   2.8389   8.5906  -2.9527   4.2114   5.6378
2018090114  UD   244.7961   2.5412   5.3993   8.6736  -5.2324   5.9674   3.4412
2018090115  UD   241.1103   1.3237   2.3989   8.3277  -7.3462   2.7399   0.9815
2018090116  UD   245.5905   1.7349   3.8230  10.6570  -4.7556   4.1983   5.9014
2018090117  UD   249.1930   1.5062   3.9637  10.1636  -6.8791   4.2403   3.2845
2018090118  UD   258.3378   0.7655   3.7086  10.2209  -5.4543   3.7867   4.7666
2018090119  UD   247.3978   1.1772   2.8276   9.9281  -6.3660   3.0629   3.5621
2018090120  UD   259.5905   0.6502   3.5391  10.0981  -6.0252   3.5983   4.0729
