Date         PM25    PBLH     PBLHm    T2         SPD     RAIN
2017090100   90.7324 494.8495 209.0839 294.1792   2.8031   0.0504
2017090200   66.2044 634.2624  69.7529 293.2840   3.1459   0.0439
2017090300   69.1768 644.2282  68.9552 292.6160   3.7585   0.0245
2017090400   68.8738 556.0609  27.3070 294.2257   3.6217   0.0320
2017090500   37.6923 560.4685 116.8028 294.0377   3.2638   0.0027
2017090600   35.3676 638.9595  63.4154 293.5299   2.7831   0.0021
2017090700   59.4904 531.8908  40.5115 295.7675   3.6592   0.0020
2017090800   94.2249 412.1972  47.7118 294.8337   3.2651   0.0022
2017090900   96.6908 465.2764  63.6547 295.7696   3.0985   0.0086
2017091000   52.0890 467.7034 212.8296 292.2587   3.0600   0.1399
2017091100   22.6096 556.9041  44.4713 290.2142   3.2794   0.0017
2017091200   39.1801 493.0085 118.7797 293.3699   2.7353   0.0206
2017091300   80.0621 524.0732  51.1948 295.1174   3.0782   0.0176
2017091400   58.1602 604.7983 127.0435 294.8412   3.4106   0.0068
2017091500   63.2840 618.8417  58.7716 293.1097   3.5317   0.0152
2017091600   65.4466 490.3273  67.1252 291.5995   3.7473   0.0180
2017091700   22.2341 555.2694  39.3289 290.7018   3.3058   0.0030
2017091800   32.3293 773.8934  19.1802 293.7074   4.2030   0.0128
2017091900   18.5203 600.0613   0.4952 289.1768   5.1010   0.0038
2017092000   32.1958 472.9114  67.6399 289.8500   3.0590   0.0028
2017092100   55.5286 658.8386  34.4126 293.2081   5.0498   0.0503
2017092200   27.1921 619.0510  62.0526 288.4706   4.1974   0.0015
2017092300   63.1280 475.4621  23.8347 293.4633   3.7589   0.0172
2017092400   60.8484 528.0272  23.6548 293.6862   3.4702   0.0035
2017092500   82.0219 496.9595  70.0106 293.7029   3.3655   0.0531
2017092600   31.4998 442.3365  18.8946 287.7490   4.0387   0.0291
2017092700   23.6179 734.5231  10.5667 285.1625   4.6222   0.0030
2017092800   21.5620 740.3660  20.0294 284.7011   3.8219   0.0019
2017092900   52.4183 543.2435 138.3957 288.7030   2.8667   0.0015
2017093000   91.0419 608.8788  46.2061 292.7609   4.2171   0.0024
2017100100   32.7077 645.2013   3.9471 288.1370   4.9913   0.0027
2017100200   21.3526 456.8549 108.0254 282.9380   3.1086   0.0117
2017100300   30.2045 644.1023  94.4508 283.7123   2.5868   0.0023
2017100400   41.4185 608.8190  43.1751 284.5648   3.8776   0.0020
2017100500   54.1661 534.5134  94.6655 285.5562   3.8372   0.0053
2017100600   74.1001 471.0021  37.5309 287.6384   3.5686   0.0197
2017100700  106.1992 377.1016  70.7181 288.9703   2.8719   0.0976
2017100800   89.9102 250.7587 184.9079 287.3524   2.4231   0.2615
2017100900   27.2550 342.0638   0.4414 281.7068   6.6034   1.9912
2017101000   21.7313 357.7004  45.3273 278.5622   3.7785   0.8042
2017101100   24.2422 508.1981  90.3926 280.3174   2.7618   0.4542
2017101200   35.0862 506.2362  63.6531 281.3786   3.3743   0.4400
2017101300   40.8568 500.0845  68.8383 283.2182   2.8628   0.2981
2017101400   34.9845 416.3449  33.0360 282.9107   3.2739   0.3783
2017101500   57.8826 415.9338  50.9452 284.0212   3.3075   0.2071
2017101600   51.0514 346.1432  80.3756 283.0321   2.7291   0.1695
2017101700   68.4066 305.7450 219.0944 284.6783   2.0790   0.2167
2017101800   66.0873 278.5109  19.6026 282.5440   2.9287   0.2001
2017101900   72.1136 346.2208 113.4146 284.3523   2.4312   0.1935
2017102000   86.7912 361.6282  24.8878 286.1916   3.9012   0.1949
2017102100   57.3244 458.9739   3.8282 283.3582   4.4652   0.2109
2017102200   37.1597 410.3576  33.6840 280.1851   3.1461   0.3083
2017102300   43.4927 349.8821 111.1395 280.6794   2.4990   0.2588
2017102400   66.3867 297.0709  46.4003 283.1611   3.4059   0.2167
2017102500  104.6270 221.9493  96.3958 284.7221   2.1970   0.1953
2017102600  136.9194 298.6478 141.3947 284.0881   2.4296   0.2031
2017102700  127.3126 290.8478  77.3524 284.7465   3.6044   0.2088
2017102800   19.1390 745.8223   0.4401 278.2367   7.0937   0.2362
