Date         PM25    PBLH     PBLHm    T2         SPD     RAIN
2019010100   46.5238 381.0964 110.4928 268.0275   3.4890   0.1083
2019010200   80.4810 323.8454 216.0626 269.3896   2.4599   0.1002
2019010300  103.6201 387.5303 116.9540 270.1069   3.8339   0.0919
2019010400   25.7838 435.3523 100.7305 268.0201   4.1304   0.0835
2019010500   36.1709 387.7465 189.1263 269.1970   2.6405   0.0762
2019010600   70.1227 329.1290 129.6787 269.3503   3.5265   0.0698
2019010700   28.1254 570.6119 100.1809 269.1665   4.3424   0.0638
2019010800   26.0914 466.4701 139.2267 267.8369   3.4148   0.0583
2019010900   52.2865 415.7379  86.4227 270.3517   4.1692   0.0535
2019011000  100.2029 251.2468 155.2661 273.6335   3.0460   0.0496
2019011100  151.7756 257.3304 206.3879 272.5326   2.4991   0.0463
2019011200  145.4630 418.4555  84.0653 273.3088   4.4724   0.0434
2019011300   71.3164 327.8720 155.0480 272.2859   3.3867   0.0391
2019011400   65.2713 801.5455  59.3711 270.6566   6.3311   0.0354
2019011500   19.6625 583.1489  78.1760 265.7886   4.9157   0.0315
2019011600   36.7404 388.4657  69.5642 269.7164   4.5627   0.0283
2019011700   53.7694 315.8161 149.3093 271.7301   3.1524   0.0257
2019011800   58.0471 435.0321 116.7500 273.3193   4.1169   0.0233
2019011900   22.6621 665.3051  92.1249 271.4528   4.2101   0.0209
2019012000   23.4477 567.0184  57.3497 270.8504   5.5420   0.0186
2019012100   35.1437 400.7725  84.0302 273.1350   4.5078   0.0165
2019012200   36.3633 367.3818  82.6601 274.8078   4.4155   0.0148
2019012300   43.0234 333.7788 130.0863 272.5624   3.3401   0.0132
2019012400   48.1145 422.1442  98.7242 271.4217   3.9253   0.0120
2019012500   19.2152 488.5455  90.0063 269.7694   4.3987   0.0107
2019012600   49.5734 367.7561 136.5609 270.5528   3.2502   0.0096
2019012700   39.3224 805.5236  68.2554 271.9984   5.6568   0.0085
2019012800   48.4235 361.4650 139.8812 272.1733   3.2069   0.0075
2019012900   83.1454 434.1563 115.1665 275.0807   4.2891   0.0067
2019013000   15.9648 712.6204  56.5439 268.7353   5.8413   0.0058
2019013100   24.7174 588.6617  74.2492 267.6507   4.6160   0.0052
2019020100   54.1879 381.8128  91.8789 271.9700   4.4633   0.0047
2019020200   89.2309 466.6512 132.3041 274.9542   4.0274   0.0046
2019020300   30.9034 769.2842 113.0775 270.4013   4.0208   0.0053
2019020400   69.9166 405.2537  98.2537 270.6077   4.1385   0.0053
2019020500   76.0514 428.2647 101.9920 269.4397   4.0210   0.0054
2019020600   35.3564 682.2982  81.1035 265.4995   4.8607   0.2758
2019020700   17.6111 510.7983 174.9673 264.1385   3.3488   0.4203
2019020800   27.5689 668.7648 112.5988 265.2213   4.0008   0.4043
2019020900   22.4598 486.2903 200.8652 265.5356   2.6414   0.3701
2019021000   45.1539 539.9078 134.6422 266.7494   3.4224   0.3352
2019021100   41.9037 599.2393  72.4705 268.0674   4.6241   0.3243
2019021200   43.6197 419.0604 138.7548 265.7841   3.5952   0.5810
2019021300   32.6329 485.5244 205.5878 266.5742   2.5705   0.5793
2019021400   39.8950 446.3148  88.6090 264.4360   4.6587   2.7303
2019021500   15.9378 731.9607  27.3801 265.8341   6.7495   2.9455
2019021600   15.5016 552.1232  55.6047 266.7425   5.2812   2.5267
2019021700   29.7326 359.7017 123.4413 270.9318   3.5442   2.0869
2019021800   56.0780 398.0966 235.3703 273.1839   2.2711   1.9559
2019021900   67.2619 606.8981  90.8204 271.6423   4.4284   2.3093
2019022000   56.5491 370.2672 133.8943 272.4407   3.5725   1.8146
2019022100  111.4734 280.0490 162.6069 275.3000   3.0369   1.3815
2019022200  106.5719 376.5029 175.3291 277.7549   2.8139   1.0327
2019022300  119.8208 410.2778 131.5555 277.1137   3.5739   0.7807
2019022400   68.0744 472.6127 107.5779 277.3335   3.7315   0.6059
2019022500   39.7601 430.4036 163.3633 275.2988   2.9862   0.4923
2019022600   57.2268 399.7247 143.5141 275.5424   3.1769   0.5186
2019022700   65.8943 513.3388 137.3634 276.2494   3.2487   0.4444
2019022800   93.8429 548.7872 164.9230 277.7888   2.9757   0.3651
2019030100  132.5299 539.5313  44.6687 278.9657   2.8722   0.3007
2019030200  141.9979 536.5534  15.8441 280.8053   3.5751   0.2470
2019030300  124.8307 557.7598   8.1303 280.9203   3.8047   0.2052
2019030400   94.2494 546.1748  39.1887 281.0390   3.0015   0.1709
2019030500   29.7047 1117.8188   9.7390 279.7508   6.0504   0.1386
2019030600   19.7147 890.3091   9.4075 274.9034   5.1267   0.1089
2019030700   34.8604 487.3478  17.0120 277.1620   3.4299   0.0898
2019030800   65.0999 618.0768  41.7401 280.9911   4.0569   0.0718
2019030900   73.3149 532.2012  22.7878 279.5635   3.1427   0.1440
2019031000   72.8757 516.6674  13.8367 277.9419   3.9216   0.7378
2019031100   16.1652 1346.8569   1.2921 277.7520   6.7136   0.8069
2019031200   14.1212 1103.0337   0.4972 274.6908   5.3351   0.5696
2019031300   17.4314 920.7160   6.1174 278.3015   3.9482   0.4001
2019031400   16.1381 1368.4022   0.9838 278.7389   4.5467   0.3028
2019031500   20.7348 785.2780  14.4080 278.4491   4.5515   0.2333
2019031600   24.7560 856.1336   1.9537 281.0212   4.6962   0.1698
2019031700   54.2555 712.1237  17.8357 283.4386   4.3264   0.1269
2019031800   63.0348 806.9897  22.4982 286.0180   3.9123   0.0944
2019031900   71.6974 1015.5967  19.0282 290.1076   4.9217   0.0697
2019032000   44.9019 1069.3896   9.3789 282.7193   5.9616   0.1255
2019032100   16.5203 930.6276  14.3088 275.7822   5.1329   0.0465
2019032200   13.0681 1546.1759   2.8553 277.2763   5.6036   0.0448
2019032300   21.5363 861.3623   8.6258 276.6420   4.1459   0.0435
2019032400   32.3197 938.0627   3.9650 282.6029   5.2983   0.0326
2019032500   25.1015 1025.2611   1.3005 283.2126   4.8005   0.0246
2019032600   63.1651 508.7218  16.5764 282.2148   3.6439   0.0192
2019032700   38.8034 866.5154  14.0676 280.9241   4.6183   0.0321
2019032800   25.9645 678.7269  27.8683 275.8171   3.3938   0.1854
2019032900   22.2659 1167.7092   8.4769 277.5808   5.8755   0.2245
2019033000   13.2955 1559.9915   0.4630 275.8926   6.1353   0.1845
2019033100   19.6067 1298.2568  11.8760 280.0179   4.1053   0.1388
2019040100   24.2826 883.5417  20.4780 280.4624   3.4153   0.1061
2019040200   34.0543 632.4581  30.7142 280.7766   3.3736   0.0807
2019040300   56.3321 655.9239  14.1105 284.6355   4.2652   0.0622
2019040400   36.9085 1206.0677   5.4346 289.0345   5.6249   0.0433
2019040500   35.7975 552.5115  10.5964 282.6060   5.6977   0.0310
2019040600   34.5737 663.2646  25.5576 283.2249   3.6084   0.0364
2019040700   36.4078 677.7997   3.3670 281.6656   4.6782   0.0717
2019040800   31.4163 578.2455  19.7456 281.0790   4.2633   0.3490
2019040900   32.8628 535.0367   7.5441 277.5613   3.5692   1.7816
2019041000   35.7079 869.9872  43.6569 282.2318   2.7760   0.9156
